Team Name,Team Number,Match 1,Match 2,Match 3,Top Score
Concourse Calming Crew,1,305,335,/,335
Rector Cougars,2,145,245,/,245
Rock City Robots,3,285,270,/,285
Whatchamacallits,4,190,185,/,190
The MindSweepers,5,430,390,/,430
Robo Rebels,6,295,255,/,295
Lego Nation,7,200,220,/,220
Big Brain Bros,8,335,350,/,350
Warriorbots,9,160,245,/,245
CrossBots,10,330,265,/,330
Bosses of Haas,11,245,180,/,245
Gardner Gearheads,12,240,80,/,240
Orion,13,115,165,/,165
Flame,14,115,315,/,315
Herobotics,15,70,335,/,335
C.H.A.D. HogBots,16,265,205,/,265
Hackett Highflyers,17,320,305,/,320
TechNOlogic,18,285,250,/,285
RoboCats!,19,290,275,/,290
Unique Geeks,20,250,300,/,300
Pixel Snakes,21,310,320,/,320
Pinkston Robotics,22,400,285,/,400
Ramsey R.O.V.E.Rs,23,200,275,/,275
Helpful Hogs,24,300,360,/,360
Ballman Bears,25,255,135,/,255
Barling Bobcats,26,215,205,/,215
Spradling Eagles,27,165,190,/,190
Tilles Tigers,28,265,265,/,265
Blue Raptors,29,195,220,/,220
Chaffin,30,215,215,/,215
Warriorbots 2.0,31,175,80,/,175
BZBot,32,210,245,/,245
